X,Y,C
-0.109368,0.319871,1
-0.124078,0.352425,1
-0.0823898,0.394031,1
-0.0871568,0.343502,1
-0.163736,0.310269,1
-0.0932736,0.348092,1
-0.194589,0.335982,1
-0.138935,0.363985,1
-0.123957,0.327138,1
-0.156342,0.349436,1
-0.24365,0.336773,1
-0.224015,0.328652,1
-0.181044,0.348544,1
-0.175073,0.297627,1
-0.242835,0.275285,1
-0.207049,0.249288,1
-0.224343,0.313388,1
-0.228714,0.283836,1
-0.201137,0.297296,1
-0.290044,0.257793,1
-0.23594,0.329905,1
-0.207471,0.30406,1
-0.283019,0.243436,1
-0.271217,0.29128,1
-0.237436,0.313555,1
-0.219372,0.227788,1
-0.3122,0.286352,1
-0.290155,0.211365,1
-0.269734,0.300676,1
-0.241993,0.25091,1
-0.309567,0.295073,1
-0.287348,0.256616,1
-0.306889,0.296197,1
-0.241153,0.256355,1
-0.283814,0.257907,1
-0.229204,0.229364,1
-0.235946,0.270816,1
-0.266557,0.235827,1
-0.234022,0.219966,1
-0.252984,0.212984,1
-0.247308,0.220035,1
-0.256182,0.270194,1
-0.243957,0.296629,1
-0.285362,0.291413,1
-0.225442,0.216522,1
-0.284795,0.190049,1
-0.267066,0.212988,1
-0.233571,0.268645,1
-0.300304,0.20738,1
-0.288596,0.241508,1
-0.27413,0.213912,1
-0.341494,0.144627,1
-0.282671,0.207714,1
-0.307667,0.205909,1
-0.368681,0.113278,1
-0.3325,0.110065,1
-0.373432,0.152758,1
-0.295553,0.151307,1
-0.329686,0.12952,1
-0.293512,0.141836,1
-0.348579,0.0871397,1
-0.342949,0.0774949,1
-0.380511,0.0700253,1
-0.365117,0.073168,1
-0.312782,0.0788682,1
-0.348531,0.0971022,1
-0.331204,0.0696272,1
-0.368868,0.0857815,1
-0.363029,0.0554062,1
-0.381313,0.0381179,1
-0.388375,0.0205615,1
-0.316258,0.0549641,1
-0.360938,0.0510916,1
-0.365379,-0.00786132,1
-0.331312,0.0246605,1
-0.306655,-0.0523077,1
-0.303084,0.0251737,1
-0.372503,-0.0502607,1
-0.323102,-0.0421432,1
-0.343186,-0.0809562,1
-0.306913,-0.0195413,1
-0.341949,-0.0427319,1
-0.291693,-0.102276,1
-0.324491,-0.0691122,1
-0.333769,-0.124963,1
-0.330608,-0.0477604,1
-0.262035,-0.0615194,1
-0.21848,-0.137366,1
-0.3018,-0.177588,1
-0.25013,-0.0964891,1
-0.265195,-0.144721,1
-0.242381,-0.166858,1
-0.220498,-0.160581,1
-0.27484,-0.161259,1
-0.292605,-0.186393,1
-0.238429,-0.121052,1
-0.233585,-0.23075,1
-0.283379,-0.153751,1
-0.318419,-0.222421,1
-0.269935,-0.229374,1
-0.270618,-0.249154,1
-0.269397,-0.178997,1
-0.268919,-0.242343,1
-0.258322,-0.241095,1
-0.313477,-0.243256,1
-0.306316,-0.275071,1
-0.284171,-0.260373,1
-0.284232,-0.23343,1
-0.29759,-0.272096,1
-0.286926,-0.212667,1
-0.270752,-0.247528,1
-0.21594,-0.226841,1
-0.222959,-0.269459,1
-0.211925,-0.214285,1
-0.214878,-0.314222,1
-0.22795,-0.315713,1
-0.244774,-0.246136,1
-0.227753,-0.274921,1
-0.207548,-0.265544,1
-0.280414,-0.309798,1
-0.281242,-0.249952,1
-0.224177,-0.241932,1
-0.202385,-0.293379,1
-0.226352,-0.260513,1
-0.229219,-0.278249,1
-0.234453,-0.31015,1
-0.182848,-0.316628,1
-0.253913,-0.326007,1
-0.214189,-0.258373,1
-0.21487,-0.304375,1
-0.197821,-0.347105,1
-0.19718,-0.325705,1
-0.104731,-0.33475,1
-0.17925,-0.29959,1
-0.17103,-0.344011,1
-0.145362,-0.29479,1
-0.102022,-0.309109,1
-0.166853,-0.293035,1
-0.156616,-0.347456,1
-0.138765,-0.38095,1
-0.0951337,-0.387414,1
-0.184607,-0.297432,1
-0.181836,-0.375289,1
-0.158724,-0.307553,1
-0.184027,-0.35138,1
-0.153539,-0.360164,1
-0.100306,-0.340633,1
-0.0882663,-0.340885,1
-0.0855087,-0.387933,1
-0.18155,-0.319619,1
-0.152414,-0.313934,1
-0.0635594,-0.39441,1
-0.109049,-0.347436,1
-0.075866,-0.37079,1
-0.0920435,-0.376205,1
-0.0621138,-0.405006,1
0.00630778,-0.377558,1
-0.073495,-0.332101,1
0.0152368,-0.346381,1
0.000211124,-0.398223,1
0.0464974,-0.431351,1
-0.0358242,-0.353603,1
0.0481826,-0.435968,1
0.0274712,-0.440063,1
0.0169082,-0.408277,1
0.0272342,-0.403451,1
0.0426599,-0.363705,1
0.0248245,-0.403685,1
0.11154,-0.388723,1
0.0736366,-0.451064,1
0.141668,-0.449123,1
0.0882606,-0.421074,1
0.110976,-0.390239,1
0.144126,-0.445093,1
0.0803952,-0.442305,1
0.0723737,-0.424462,1
0.117135,-0.422583,1
0.117607,-0.462158,1
0.157997,-0.391605,1
0.128417,-0.449567,1
0.15763,-0.416214,1
0.132413,-0.386315,1
0.0972258,-0.401731,1
0.158593,-0.42001,1
0.151291,-0.387894,1
0.128193,-0.384819,1
0.100027,-0.459079,1
0.0943844,-0.415615,1
0.140498,-0.445047,1
0.168338,-0.358513,1
0.104866,-0.384013,1
0.171442,-0.420135,1
0.153816,-0.336338,1
0.21493,-0.377801,1
0.195631,-0.429578,1
0.193265,-0.42209,1
0.181298,-0.394902,1
0.202808,-0.413568,1
0.159733,-0.323816,1
0.181292,-0.370629,1
0.176993,-0.303693,1
0.237622,-0.27852,1
0.212354,-0.294996,1
0.203704,-0.30918,1
0.234758,-0.295534,1
0.243913,-0.268405,1
0.17376,-0.311375,1
0.224062,-0.25754,1
0.243383,-0.281089,1
0.266896,-0.262592,1
0.17967,-0.284939,1
0.239243,-0.233963,1
0.224305,-0.264218,1
0.183833,-0.279956,1
0.26457,-0.233378,1
0.277668,-0.274787,1
0.216541,-0.308328,1
0.260579,-0.256764,1
0.259111,-0.285877,1
0.178945,-0.319169,1
0.218238,-0.221426,1
0.244669,-0.238478,1
0.262805,-0.280423,1
0.19637,-0.313449,1
0.181827,-0.291268,1
0.289725,-0.217317,1
0.218752,-0.270604,1
0.266128,-0.221712,1
0.276047,-0.212035,1
0.301785,-0.294847,1
0.239177,-0.251758,1
0.241128,-0.217834,1
0.27397,-0.285069,1
0.295224,-0.215281,1
0.251741,-0.255684,1
0.331615,-0.21163,1
0.278182,-0.260034,1
0.343073,-0.216113,1
0.307787,-0.2581,1
0.354976,-0.262512,1
0.337943,-0.222986,1
0.301332,-0.206712,1
0.278128,-0.218884,1
0.360043,-0.156333,1
0.359894,-0.238583,1
0.329508,-0.244548,1
0.317018,-0.207146,1
0.304942,-0.149975,1
0.330202,-0.142604,1
0.372828,-0.152511,1
0.329855,-0.200037,1
0.316166,-0.144753,1
0.336906,-0.12748,1
0.316616,-0.204457,1
0.373772,-0.133047,1
0.320592,-0.134502,1
0.330391,-0.153889,1
0.380133,-0.163785,1
0.362344,-0.184379,1
0.317017,-0.0995831,1
0.338287,-0.0840452,1
0.391659,-0.108513,1
0.363698,-0.115692,1
0.375077,-0.0623061,1
0.334689,-0.0730497,1
0.349785,-0.0557245,1
0.384128,-0.0595892,1
0.418929,-0.0593333,1
0.357679,0.0165689,1
0.405539,-0.0585211,1
0.433399,0.00137347,1
0.368662,0.0174516,1
0.369197,0.0251701,1
0.357322,0.0227222,1
0.347542,-0.0313109,1
0.34977,0.00762003,1
0.434793,0.026427,1
0.374505,-0.00915369,1
0.408176,-0.0232326,1
0.388152,0.0173715,1
0.381869,0.0559344,1
0.343256,0.0219162,1
0.428148,0.0438688,1
0.384204,0.0686015,1
0.397116,0.0583311,1
0.384417,0.0889548,1
0.427218,0.0214083,1
0.391038,0.0980989,1
0.360362,0.0641912,1
0.360114,0.126024,1
0.426412,0.0462719,1
0.425011,0.103495,1
0.364362,0.118872,1
0.394781,0.0659039,1
0.402092,0.0963073,1
0.380214,0.131671,1
0.352331,0.0720064,1
0.361232,0.0735414,1
0.342867,0.169351,1
0.352908,0.107505,1
0.313965,0.120779,1
0.319015,0.104457,1
0.303793,0.14352,1
0.333087,0.0997902,1
0.30443,0.0949479,1
0.305449,0.17494,1
0.386502,0.120044,1
0.352392,0.10984,1
0.328264,0.131863,1
0.374451,0.163612,1
0.304249,0.149059,1
0.359488,0.135176,1
0.359659,0.164179,1
0.33822,0.187167,1
0.302967,0.186556,1
0.291158,0.163868,1
0.279858,0.14812,1
0.317626,0.190338,1
0.362385,0.222562,1
0.35157,0.19966,1
0.345289,0.259125,1
0.359531,0.197199,1
0.25446,0.219302,1
0.250181,0.235907,1
0.334499,0.20902,1
0.263358,0.270932,1
0.320658,0.233313,1
0.319503,0.2502,1
0.257784,0.232537,1
0.23191,0.200018,1
0.283119,0.225345,1
0.285017,0.230111,1
0.212729,0.267611,1
0.294146,0.294195,1
0.257424,0.287508,1
0.205094,0.305018,1
0.19954,0.25123,1
0.191747,0.31353,1
0.172529,0.301854,1
0.13697,0.241894,1
0.183538,0.290491,1
0.161173,0.284254,1
0.186647,0.248313,1
0.121926,0.308051,1
0.127478,0.307166,1
0.19276,0.314396,1
0.106848,0.309656,1
0.0995443,0.265007,1
0.135345,0.257034,1
0.143045,0.250991,1
0.0985314,0.293658,1
0.124821,0.249728,1
0.142254,0.244435,1
0.141386,0.324123,1
0.0950626,0.288342,1
0.0715737,0.304082,1
0.122118,0.301421,1
0.122582,0.3109,1
0.0678178,0.280161,1
0.114658,0.332527,1
0.0671537,0.342175,1
0.100622,0.279123,1
0.040993,0.257645,1
