X,Y,C
27.46,5,2
36.88,7,2
188.59,16,3
51.83,6,2
41.35,23,4
156.57,7,3
167.46,14,3
53.32,4,2
56.91,8,2
40.95,35,4
40.53,4,2
209.64,7,3
54.09,6,2
51.77,3,2
52.27,7,2
33.17,2,2
30.15,6,2
151.65,1,3
43.96,5,2
35.51,7,2
168.04,12,3
63.61,5,2
52.33,4,2
36.49,5,2
55.69,22,4
67.04,4,2
51.69,30,4
61.75,8,2
49.33,28,4
64.16,7,2
58.97,6,2
54.99,4,2
65.73,8,2
53.25,8,2
44.67,7,2
42.87,4,2
57.05,9,2
48.07,4,2
51.75,4,2
38.91,4,2
51.22,4,2
34.61,6,2
180.1,14,3
49.26,26,4
46.95,8,2
59.82,7,2
187.16,11,3
54.06,20,4
44.17,6,2
64.54,7,2
30.89,5,2
74.47,5,2
58.48,8,2
63.15,6,2
49.78,4,2
74.03,6,2
66.04,5,2
53.36,25,4
212.42,7,3
36.21,31,4
60.41,8,2
37.14,6,2
212.49,25,3
37.21,5,2
57.91,4,2
33.66,8,2
59.94,32,4
190.84,1,3
39.21,6,2
220.39,7,3
171.29,19,3
193.31,8,3
44.48,36,4
39.37,5,2
177.04,6,3
50.16,7,2
31.25,29,4
43.93,32,4
38.06,7,2
174.44,9,3
165.15,9,3
73.78,4,2
196.34,9,3
31.58,6,2
54.31,35,4
167.88,6,3
191.27,8,3
33.01,4,2
53.75,6,2
189.78,17,3
160.2,9,3
46.35,35,4
150.8,8,3
48.69,6,2
44.12,2,2
66.89,3,2
39.78,5,2
158.86,14,3
62.98,22,4
52.01,7,2
48.62,10,2
44.83,7,2
45.11,6,2
41.5,4,2
44.85,2,2
56.23,4,2
40.59,9,2
33.36,6,2
55.99,4,2
45.53,5,2
57.36,7,2
37.57,6,2
27.4,30,4
41.02,9,2
46.99,7,2
73.97,3,2
49.96,1,2
66.37,5,2
47.18,7,2
31.88,30,4
56.75,6,2
45.3,5,2
54.39,3,2
54.41,7,2
51.74,3,2
30.97,8,2
47.85,7,2
59.22,14,2
48.98,6,2
52.01,7,2
44.26,8,2
168.01,15,3
54.5,5,2
45.73,3,2
50.28,21,4
27.3,5,2
41.62,9,2
47.9,3,2
45.54,3,2
60.29,6,2
39.93,4,2
41.56,3,2
181.82,6,3
179.52,8,3
40.71,5,2
56.01,4,2
173.38,11,3
41.91,10,2
52.57,7,2
35.42,3,2
47.09,27,4
45.67,7,2
55.71,5,2
159.2,46,1
68.57,6,2
49.85,8,2
48.05,7,2
49.65,11,2
60.84,9,2
140.32,56,1
182.63,12,3
81.96,27,4
51.46,9,2
43.84,36,4
45.94,6,2
201.79,1,3
168.36,13,3
68.26,5,2
57.3,42,4
166.8,10,3
179.61,15,3
52.43,11,2
64.96,6,2
47.55,22,4
49.41,4,2
47.76,3,2
71.55,4,2
52.81,5,2
68.53,3,2
195.66,4,3
57.19,19,4
175.58,11,3
49.62,4,2
53.47,4,2
44.15,5,2
49.46,8,2
65.08,3,2
38.93,1,2
28.16,3,2
56.04,6,2
44.39,4,2
55.88,3,2
73.13,3,2
49.93,5,2
60.04,5,2
65.11,5,2
58.77,5,2
190.94,20,3
44.8,7,2
51.35,3,2
34.68,7,2
58.05,5,2
176.01,70,1
55.92,22,4
61.21,7,2
67.36,6,2
42.96,37,4
49.36,23,4
50.79,4,2
41.61,4,2
192.78,7,3
62.47,7,2
49.24,1,2
62.06,37,4
59.37,6,2
49.98,4,2
42.03,4,2
51.3,5,2
205.07,15,3
30.44,4,2
52.1,2,2
47.21,4,2
50.64,5,2
41.01,37,4
161.76,5,3
56.2,6,2
51.76,4,2
32.71,17,4
175.58,9,3
55.01,6,2
55.05,6,2
53.41,8,2
30.31,6,2
38.84,4,2
178.48,7,3
49.99,7,2
53.45,5,2
69.64,8,2
41.69,5,2
180.73,1,3
41.82,3,2
174.78,4,3
49.72,4,2
78.26,4,2
54.41,6,2
61.38,6,2
32.1,2,2
31.68,31,4
153.5,1,3
55.56,4,2
40.18,6,2
53.57,4,2
50.3,8,2
42.25,5,2
50.14,3,2
33.46,8,2
40.3,30,4
42.32,6,2
49.47,4,2
65.42,6,2
45.24,3,2
58.27,6,2
62.3,6,2
196.13,17,3
185.33,8,3
58.22,5,2
54.99,6,2
53.79,23,4
50.34,6,2
59.73,15,2
190.28,10,3
56.58,7,2
42,5,2
43.15,3,2
154.33,3,3
45.01,7,2
61.92,4,2
47.59,5,2
41.95,28,4
57.87,41,4
36.24,2,2
38.96,21,4
53.39,4,2
161.94,9,3
52.11,4,2
50.64,2,2
45.32,4,2
67.31,5,2
167.22,2,3
56.28,27,4
49.71,4,2
59.35,4,2
64.6,3,2
39.01,5,2
69.19,4,2
49.7,3,2
37.41,5,2
46.59,4,2
54.03,3,2
48.66,45,4
50.25,6,2
61.32,4,2
74.14,5,2
45,7,2
176.14,5,3
56.56,3,2
31.13,4,2
52.86,5,2
68.18,5,2
172.15,8,3
48.99,7,2
50.05,8,2
42.53,3,2
170.72,1,3
63.6,2,2
50.75,2,2
32.09,2,2
35.24,2,2
53.11,48,4
54.01,4,2
58.46,5,2
169.75,5,3
52.03,5,2
61.68,24,4
63.75,4,2
33.84,35,4
179.74,11,3
26.76,22,4
197.87,74,1
40.37,4,2
43.61,3,2
41.47,6,2
178.57,17,3
51.84,2,2
154.59,19,3
219.54,39,1
170.73,11,3
30.32,3,2
51.12,4,2
153.34,9,3
201.12,19,3
