X,Y,C
-0.0274436,0.405449,1
-0.172884,-0.0568508,2
-0.242433,-0.00551351,2
0.311864,0.476983,1
-0.204594,0.0450673,2
0.332887,0.457614,1
-0.398816,0.0801863,2
0.417862,0.123664,4
0.414038,0.157025,4
-0.024184,0.37819,1
-0.149317,0.188994,2
-0.45015,0.276424,2
0.148821,-0.189604,3
0.154065,0.560949,1
-0.221073,-0.193756,2
0.0627192,0.556775,1
0.210145,-0.14375,3
-0.00330684,0.464505,1
0.172895,0.532598,1
0.0691736,0.459989,1
-0.0148199,0.297927,1
0.12953,0.500487,1
0.262626,0.34594,1
-0.42979,-0.10644,2
0.148053,-0.0430492,3
0.278403,0.37037,1
-0.0990914,0.130952,2
0.0625691,-0.11122,3
0.172981,-0.26397,3
0.307271,-0.215277,3
-0.181761,0.0640252,2
0.390829,0.129788,4
0.197095,0.590605,1
-0.156791,-0.0957978,2
0.366009,0.113019,4
-0.47948,-0.152065,2
-0.437939,0.227895,2
0.226045,0.443019,1
0.174826,0.437673,1
-0.477926,-0.0154218,2
-0.253886,0.114678,2
-0.127235,-0.138672,2
0.265983,0.549698,1
-0.270498,-0.0362454,2
0.0674917,-0.162694,3
-0.481467,0.0601383,2
-0.173698,0.247811,2
-0.330703,0.0358983,2
0.0947839,-0.0907177,3
-0.215636,0.168282,2
-0.405389,0.196155,2
-0.265797,0.308373,2
0.185166,-0.229301,3
-0.191416,0.202835,2
-0.142291,-0.107725,2
0.12779,0.573496,1
0.26265,0.409471,1
0.332012,0.49966,1
-0.0489093,0.189653,2
0.181916,-0.242579,3
-0.345833,-0.173281,2
-0.390164,0.177622,2
-0.177151,0.128722,2
0.422263,0.156929,4
-0.305419,-0.119933,2
-0.264237,-0.136481,2
-0.358323,-0.137931,2
0.23226,-0.0619389,3
0.132927,0.52966,1
-0.299384,-0.134086,2
-0.517568,-0.0434341,2
-0.355376,-0.0579016,2
0.313888,0.447386,1
-0.286781,-0.0032775,2
-0.2724,0.188019,2
0.378499,0.375322,1
0.166453,-0.15824,3
-0.462713,0.0995348,2
0.0740732,-0.208144,3
0.260449,0.38349,1
0.240761,-0.251432,3
0.436047,0.128843,4
0.161221,0.39212,1
0.0376668,0.229181,1
0.217865,-0.24674,3
-0.409065,0.274608,2
0.0469026,-0.215677,3
-0.333143,0.180809,2
0.0385572,-0.249254,3
0.249059,0.40497,1
-0.372785,0.114402,2
-0.109477,-0.0816199,2
-0.25233,0.060148,2
0.0900038,-0.266185,3
0.200528,-0.244827,3
