X,Y,C
-0.217386,0.168079,3
-0.235579,0.184063,3
-0.238211,0.179537,3
-0.219104,0.153588,3
-0.263414,0.171048,3
-0.259501,0.162621,3
-0.230176,0.161836,3
-0.26579,0.184969,3
-0.224418,0.149487,3
-0.238114,0.201873,3
-0.247802,0.181565,3
-0.275265,0.208724,3
-0.247104,0.26549,3
-0.25098,0.260565,3
-0.291872,0.23697,3
-0.276384,0.253609,3
-0.291685,0.279914,3
-0.263346,0.283417,3
-0.299637,0.277305,3
-0.28129,0.275885,3
-0.307479,0.291819,3
-0.278906,0.285878,3
-0.293446,0.297364,3
-0.310342,0.321657,3
-0.274668,0.300217,3
-0.273034,0.28625,3
-0.311047,0.321288,3
-0.283411,0.298551,3
-0.310109,0.306334,3
-0.277239,0.320511,3
-0.290241,0.293226,3
-0.304754,0.26747,3
-0.321207,0.296668,3
-0.33817,0.222239,3
-0.308386,0.246392,3
-0.305387,0.234473,3
-0.356786,0.195854,3
-0.342299,0.172507,3
-0.34258,0.196123,3
-0.360841,0.154135,3
-0.371565,0.137654,3
-0.324924,0.148317,3
-0.332159,0.135094,3
-0.360716,0.13147,3
-0.348355,0.13764,3
-0.334251,0.162495,3
-0.366394,0.137546,3
-0.36896,0.169388,3
-0.352315,0.168742,3
-0.344668,0.158274,3
-0.356407,0.141977,3
-0.375721,0.187864,3
-0.373036,0.158703,3
-0.3626,0.159234,3
-0.368641,0.202048,3
-0.351912,0.183233,3
-0.353655,0.184794,3
-0.366648,0.207478,3
-0.366617,0.193451,3
-0.332481,0.205039,3
-0.355291,0.17328,3
-0.333596,0.21096,3
-0.380155,0.211515,3
-0.32833,0.194975,3
-0.365835,0.192363,3
-0.375261,0.216833,3
-0.330846,0.258561,3
-0.315641,0.249798,3
-0.334234,0.234593,3
-0.334487,0.311661,3
-0.288476,0.304411,3
-0.310753,0.306259,3
-0.324675,0.28823,3
-0.293628,0.293132,3
-0.306005,0.307337,3
-0.287996,0.310259,3
-0.268976,0.293088,3
-0.267564,0.300709,3
-0.254671,0.307626,3
-0.220595,0.304553,3
-0.242098,0.297081,3
-0.184312,0.280222,3
-0.20531,0.297248,3
-0.215499,0.294035,3
-0.179432,0.29266,3
-0.169266,0.290807,3
-0.193462,0.293231,3
-0.175927,0.277378,3
-0.18488,0.311179,3
-0.184709,0.289865,3
-0.195273,0.274058,3
-0.208568,0.281147,3
-0.171057,0.268576,3
-0.19808,0.267876,3
-0.21235,0.251333,3
-0.20309,0.260052,3
-0.17963,0.210711,3
-0.184815,0.256517,3
-0.191464,0.209654,3
-0.181919,0.211618,3
-0.166852,0.222014,3
-0.190382,0.191564,3
-0.199254,0.197145,3
-0.170996,0.156335,3
-0.168387,0.166041,3
-0.201493,0.167911,3
-0.168839,0.1588,3
-0.17534,0.170625,3
-0.190162,0.117133,3
-0.201831,0.151103,3
-0.223856,0.160318,3
-0.217926,0.105956,3
-0.193437,0.116222,3
-0.2006,0.103185,3
-0.230738,0.0946158,3
-0.204814,0.0819031,3
-0.210974,0.11889,3
-0.211413,0.0766727,3
-0.244906,0.0848686,3
-0.230469,0.0886577,3
-0.246038,0.0747678,3
-0.233481,0.0725651,3
-0.226527,0.0554913,3
-0.263185,0.0532774,3
-0.241307,0.0458924,3
-0.219117,0.0551301,3
-0.248894,0.0324428,3
-0.261861,0.0752549,3
-0.220577,0.0667482,3
-0.22302,0.0467687,3
-0.232834,0.0420288,3
-0.233386,0.069864,3
-0.249128,0.0803582,3
-0.228154,0.0628579,3
-0.256815,0.0732882,3
-0.246798,0.0518639,3
-0.26853,0.0545324,3
-0.229926,0.0382186,3
-0.245833,0.0412955,3
-0.278649,0.0891286,3
-0.27286,0.0480519,3
-0.26737,0.0780218,3
-0.282148,0.0456182,3
-0.27289,0.0515987,3
-0.297371,0.0594002,3
-0.272716,0.0705487,3
-0.300644,0.0631993,3
-0.310894,0.100835,3
-0.276048,0.101312,3
-0.31451,0.0912634,3
-0.277033,0.0767899,3
-0.281234,0.0721179,3
-0.301384,0.0888527,3
-0.258018,0.107026,3
-0.301223,0.0972995,3
-0.270996,0.117995,3
-0.260886,0.130889,3
-0.249189,0.135554,3
-0.237148,0.104204,3
-0.255421,0.166669,3
-0.215579,0.187581,3
-0.242804,0.204647,3
-0.242543,0.231537,3
-0.227924,0.231567,3
-0.216423,0.227513,3
-0.227608,0.220138,3
-0.266235,0.225815,3
-0.233537,0.224665,3
-0.26061,0.247674,3
-0.264954,0.25164,3
-0.252798,0.243191,3
-0.285327,0.259322,3
-0.268367,0.215829,3
-0.25554,0.2285,3
-0.292644,0.238533,3
-0.288584,0.259402,3
-0.283661,0.260754,3
-0.303059,0.244419,3
-0.28303,0.218413,3
-0.301001,0.256826,3
-0.284077,0.212419,3
-0.305044,0.257423,3
-0.262066,0.216168,3
-0.295249,0.201603,3
-0.264338,0.231542,3
-0.284315,0.228919,3
-0.302651,0.186241,3
-0.277046,0.192104,3
-0.285512,0.171375,3
-0.269565,0.16747,3
-0.289765,0.159853,3
-0.268866,0.164147,3
-0.265675,0.187217,3
-0.278575,0.197166,3
-0.314209,0.200944,3
-0.285169,0.170867,3
-0.305117,0.187274,3
-0.312033,0.177681,3
-0.311772,0.184661,3
-0.285369,0.173832,3
-0.308206,0.195323,3
-0.285606,0.152519,3
-0.294654,0.174611,3
-0.296033,0.153815,3
-0.283077,0.158414,3
-0.286368,0.168929,3
-0.298957,0.16597,3
0.0180829,0.35105,1
0.03187,0.331783,1
-0.00439133,0.324896,1
0.0186675,0.325049,1
0.015555,0.337198,1
0.0419816,0.335185,1
0.00705558,0.345932,1
0.0367553,0.333122,1
-0.00258713,0.360651,1
-0.00182465,0.33299,1
0.0143423,0.315641,1
-0.0080426,0.33796,1
-0.0586141,0.256173,1
-0.0452216,0.26818,1
-0.0259964,0.249681,1
-0.0407588,0.250518,1
-0.0311948,0.25797,1
-0.0562364,0.231547,1
-0.049909,0.234603,1
-0.0500168,0.246093,1
-0.0733704,0.25196,1
-0.0780258,0.27071,1
-0.0699276,0.263807,1
-0.0514148,0.269699,1
-0.0923818,0.286262,1
-0.0806711,0.264338,1
-0.0862951,0.287328,1
-0.0586061,0.261648,1
-0.0864686,0.297387,1
-0.0695402,0.280849,1
-0.114107,0.283182,1
-0.0739531,0.274107,1
-0.0809582,0.308492,1
-0.0813232,0.300693,1
-0.116172,0.303862,1
-0.11053,0.325258,1
-0.0920086,0.329181,1
-0.0797356,0.306134,1
-0.0974565,0.291671,1
-0.094699,0.319602,1
-0.104544,0.293454,1
-0.107936,0.299097,1
-0.0919845,0.300863,1
-0.0743207,0.325547,1
-0.104802,0.321936,1
-0.0959634,0.321694,1
-0.0991865,0.343115,1
-0.0860212,0.32368,1
-0.109749,0.353717,1
-0.100371,0.346446,1
-0.116563,0.333575,1
-0.127661,0.35504,1
-0.12388,0.348195,1
