X,Y,C
-0.219104,0.153588,1
-0.230176,0.161836,1
-0.224418,0.149487,1
-0.247802,0.181565,1
-0.247104,0.26549,1
-0.291685,0.279914,1
-0.28129,0.275885,1
-0.307479,0.291819,1
-0.278906,0.285878,1
-0.310342,0.321657,1
-0.273034,0.28625,1
-0.311047,0.321288,1
-0.283411,0.298551,1
-0.310109,0.306334,1
-0.277239,0.320511,1
-0.321207,0.296668,1
-0.33817,0.222239,1
-0.356786,0.195854,1
-0.34258,0.196123,1
-0.332159,0.135094,1
-0.360716,0.13147,1
-0.348355,0.13764,1
-0.36896,0.169388,1
-0.344668,0.158274,1
-0.356407,0.141977,1
-0.375721,0.187864,1
-0.373036,0.158703,1
-0.368641,0.202048,1
-0.366617,0.193451,1
-0.365835,0.192363,1
-0.375261,0.216833,1
-0.334487,0.311661,1
-0.288476,0.304411,1
-0.310753,0.306259,1
-0.324675,0.28823,1
-0.306005,0.307337,1
-0.287996,0.310259,1
-0.268976,0.293088,1
-0.254671,0.307626,1
-0.220595,0.304553,1
-0.242098,0.297081,1
-0.184312,0.280222,1
-0.20531,0.297248,1
-0.215499,0.294035,1
-0.169266,0.290807,1
-0.193462,0.293231,1
-0.175927,0.277378,1
-0.208568,0.281147,1
-0.171057,0.268576,1
-0.21235,0.251333,1
-0.17963,0.210711,1
-0.191464,0.209654,1
-0.181919,0.211618,1
-0.199254,0.197145,1
-0.170996,0.156335,1
-0.168387,0.166041,1
-0.201493,0.167911,1
-0.168839,0.1588,1
-0.17534,0.170625,1
-0.190162,0.117133,1
-0.201831,0.151103,1
-0.223856,0.160318,1
-0.217926,0.105956,1
-0.193437,0.116222,1
-0.2006,0.103185,1
-0.230738,0.0946158,1
-0.204814,0.0819031,1
-0.210974,0.11889,1
-0.211413,0.0766727,1
-0.230469,0.0886577,1
-0.233481,0.0725651,1
-0.226527,0.0554913,1
-0.263185,0.0532774,1
-0.241307,0.0458924,1
-0.219117,0.0551301,1
-0.248894,0.0324428,1
-0.22302,0.0467687,1
-0.232834,0.0420288,1
-0.246798,0.0518639,1
-0.26853,0.0545324,1
-0.229926,0.0382186,1
-0.245833,0.0412955,1
-0.278649,0.0891286,1
-0.282148,0.0456182,1
-0.297371,0.0594002,1
-0.272716,0.0705487,1
-0.300644,0.0631993,1
-0.310894,0.100835,1
-0.276048,0.101312,1
-0.31451,0.0912634,1
-0.277033,0.0767899,1
-0.281234,0.0721179,1
-0.301384,0.0888527,1
-0.301223,0.0972995,1
-0.260886,0.130889,1
-0.249189,0.135554,1
-0.237148,0.104204,1
-0.255421,0.166669,1
-0.242804,0.204647,1
-0.227924,0.231567,1
-0.216423,0.227513,1
-0.227608,0.220138,1
-0.266235,0.225815,1
-0.233537,0.224665,1
-0.26061,0.247674,1
-0.252798,0.243191,1
-0.285327,0.259322,1
-0.283661,0.260754,1
-0.28303,0.218413,1
-0.284077,0.212419,1
-0.262066,0.216168,1
-0.295249,0.201603,1
-0.264338,0.231542,1
-0.284315,0.228919,1
-0.277046,0.192104,1
-0.289765,0.159853,1
-0.265675,0.187217,1
-0.278575,0.197166,1
-0.314209,0.200944,1
-0.312033,0.177681,1
-0.285606,0.152519,1
-0.294654,0.174611,1
-0.296033,0.153815,1
-0.283077,0.158414,1
-0.286368,0.168929,1
0.0180829,0.35105,2
-0.00439133,0.324896,2
0.015555,0.337198,2
0.00705558,0.345932,2
-0.0080426,0.33796,2
-0.0452216,0.26818,2
-0.0259964,0.249681,2
-0.0407588,0.250518,2
-0.0311948,0.25797,2
-0.0562364,0.231547,2
-0.049909,0.234603,2
-0.0733704,0.25196,2
-0.0780258,0.27071,2
-0.0699276,0.263807,2
-0.0514148,0.269699,2
-0.0923818,0.286262,2
-0.0806711,0.264338,2
-0.0862951,0.287328,2
-0.114107,0.283182,2
-0.0739531,0.274107,2
-0.116172,0.303862,2
-0.0920086,0.329181,2
-0.0974565,0.291671,2
-0.094699,0.319602,2
-0.104544,0.293454,2
-0.107936,0.299097,2
-0.0743207,0.325547,2
-0.0959634,0.321694,2
-0.0991865,0.343115,2
-0.100371,0.346446,2
-0.133883,0.328101,2
-0.0964291,0.362677,2
-0.136652,0.336973,2
-0.118432,0.322512,2
-0.0743135,0.317603,2
-0.0847906,0.332924,2
-0.0857934,0.33742,2
-0.0599128,0.311869,2
-0.0376657,0.325782,2
0.017797,0.343637,2
0.0830325,0.406598,2
0.0830275,0.389686,2
0.126944,0.413807,2
0.152842,0.410073,2
0.1639,0.420744,2
0.127083,0.401503,2
0.145162,0.403226,2
0.159009,0.402943,2
0.136101,0.399012,2
0.128345,0.404373,2
0.171576,0.349836,2
0.170305,0.366495,2
0.17124,0.323479,2
0.131741,0.326327,2
0.154154,0.324261,2
0.14262,0.281532,2
0.144328,0.282956,2
0.101421,0.269872,2
0.0989588,0.254948,2
0.123363,0.292441,2
0.0867285,0.273771,2
0.0689434,0.238256,2
0.0390144,0.273065,2
0.0554621,0.237136,2
0.0232582,0.238142,2
0.00700261,0.24905,2
0.0347158,0.273666,2
0.0300112,0.289574,2
-0.00865077,0.281777,2
-0.019278,0.281401,2
-0.0103535,0.286985,2
-0.0019609,0.282738,2
0.0129768,0.28221,2
-0.00772918,0.313498,2
0.000834323,0.286169,2
-0.00582752,0.2908,2
-0.0289731,0.298647,2
-0.0296307,0.299031,2
-0.0365718,0.307552,2
-0.0596316,0.32179,2
-0.030516,0.326168,2
-0.00730204,0.344957,2
0.0640767,0.337841,2
0.0260662,0.330111,2
0.0738165,0.341163,2
0.0849493,0.332633,2
0.0493333,0.379886,2
0.0966707,0.343381,2
0.0918026,0.381346,2
0.117393,0.340604,2
0.0900211,0.372358,2
0.123639,0.329944,2
0.119675,0.357038,2
0.125868,0.310126,2
0.128839,0.318022,2
0.0993631,0.269111,2
0.0942355,0.247985,2
0.104025,0.265938,2
0.108907,0.167419,2
0.128719,0.133541,2
0.122372,0.131835,2
0.110941,0.166095,2
0.0904387,0.153116,2
0.0892117,0.134751,2
0.0912477,0.165845,2
0.0971929,0.172647,2
0.0717242,0.174778,2
0.0595385,0.173549,2
0.0264758,0.199672,2
0.01986,0.228325,2
0.0099293,0.184224,2
0.0500414,0.185748,2
0.0327273,0.187084,2
0.00712837,0.226645,2
0.0520379,0.226103,2
0.0593015,0.208164,2
0.0994531,0.222748,2
0.127972,0.251246,2
0.112872,0.243614,2
0.12836,0.239747,2
0.160067,0.240187,2
0.168949,0.248995,2
0.14486,0.25121,2
0.1705,0.274372,2
0.155547,0.229946,2
0.139078,0.273334,2
0.181568,0.235195,2
0.180747,0.234486,2
0.22094,0.199786,2
0.216051,0.202563,2
0.193176,0.235799,2
0.220061,0.270078,2
0.177914,0.232903,2
0.213997,0.241222,2
0.211101,0.250973,2
0.19277,0.23685,2
0.174434,0.265428,2
0.172258,0.291467,2
0.177987,0.298171,2
0.187655,0.311423,2
0.163674,0.294313,2
0.150612,0.280137,2
0.150722,0.281798,2
0.135712,0.302391,2
0.15695,0.299614,2
0.174382,0.281773,2
0.11516,0.270127,2
0.136855,0.287707,2
0.125893,0.288303,2
0.12991,0.280048,2
0.0751455,0.278272,2
0.103513,0.310189,2
0.0862866,0.279395,2
0.0790949,0.287868,2
0.0882824,0.323745,2
0.0908949,0.320012,2
0.088824,0.32366,2
0.0650987,0.324899,2
0.0762504,0.335824,2
0.0745204,0.311317,2
0.0795505,0.320081,2
0.0574121,0.291361,2
0.0367966,0.325243,2
0.0435187,0.3132,2
0.0575344,0.301749,2
0.0346349,0.322552,2
0.046313,0.297719,2
0.0507671,0.288497,2
0.0276263,0.293338,2
0.0305744,0.298987,2
0.0285421,0.305681,2
0.00528929,0.279906,2
-0.000775998,0.294584,2
0.00126428,0.314302,2
0.00849135,0.353141,2
-0.0177539,0.356919,2
-0.0334364,0.332232,2
0.00465796,0.341342,2
-0.0127178,0.36636,2
-0.0328279,0.329579,2
-0.0535355,0.345362,2
-0.0623448,0.355889,2
-0.0625736,0.353721,2
-0.0671652,0.375054,2
-0.0462362,0.376869,2
-0.0532768,0.358188,2
-0.0548859,0.361635,2
-0.041446,0.382299,2
-0.0445154,0.370387,2
-0.030591,0.37128,2
-0.0344766,0.37553,2
0.00228403,0.393142,2
-0.00820515,0.41666,2
-0.0277303,0.432235,2
-0.0229563,0.415852,2
-0.0205783,0.400103,2
-0.0217314,0.40077,2
0.0122018,0.434926,2
-0.0228877,0.405221,2
-0.0299462,0.436321,2
0.0359924,0.386504,2
0.0666048,0.383777,2
0.0637146,0.408618,2
0.0427989,0.427808,2
0.0150317,0.410478,2
0.041218,0.396944,2
0.0303554,0.405183,2
0.0126524,0.397724,2
0.0252418,0.382358,2
0.0220545,0.409219,2
0.0449954,0.388371,2
0.025994,0.381911,2
0.13776,0.211629,2
0.131793,0.203656,2
0.0943384,0.198893,2
0.115103,0.201429,2
0.107565,0.192088,2
0.0992568,0.202657,2
0.129708,0.205388,2
0.0854919,0.208944,2
0.071179,0.214819,2
0.0503558,0.188846,2
0.0785959,0.207646,2
0.0488205,0.193412,2
0.0507068,0.189197,2
0.0992541,0.226012,2
0.0579405,0.233907,2
0.0847428,0.217693,2
0.105386,0.207171,2
-0.0315988,0.189186,2
0.00128899,0.194431,2
-0.0403766,0.219068,2
-0.0390231,0.220815,2
-0.00905383,0.227561,2
-0.00170504,0.218743,2
-0.0208649,0.239282,2
-0.0319453,0.232885,2
-0.0100828,0.20566,2
-0.0389245,0.198236,2
-0.03989,0.224426,2
-0.0381992,0.240382,2
-0.00666269,0.205462,2
-0.00818374,0.220102,2
-0.00494374,0.232412,2
-0.031306,0.203421,2
-0.0227781,0.103419,3
-0.0400415,0.0986324,3
-0.0215429,0.0643276,3
-0.0409284,0.0748499,3
-0.0266967,0.0830893,3
0.0104081,0.0198136,3
0.00926946,0.00665604,3
0.0554768,-0.00884373,3
0.0374062,0.0174724,3
0.080631,-0.0123982,3
0.0574575,0.0145854,3
0.087419,-0.00338678,3
0.0749813,-0.0118336,3
0.0909769,0.0396019,3
0.116261,0.0397122,3
0.11146,0.0371126,3
0.125187,0.0146777,3
0.120592,0.0394683,3
0.117869,0.0369437,3
0.112654,0.0345469,3
0.130681,0.0129485,3
0.136442,0.0244489,3
0.151857,0.0131915,3
0.17554,0.0333613,3
0.157622,0.0174342,3
0.180206,0.0364957,3
0.144865,0.0204506,3
0.168944,0.0388473,3
0.175868,0.0224301,3
0.180857,0.0229796,3
0.140242,0.0474243,3
0.154908,0.0569678,3
0.13888,0.056431,3
0.144098,0.0176906,3
0.0662834,0.0689519,3
0.0686376,0.0520417,3
0.0620772,0.0637381,3
0.0606319,0.0678635,3
0.010289,0.064385,3
0.00221497,0.0637444,3
0.00330287,0.0936072,3
0.0118136,0.0695152,3
0.00337693,0.101223,3
0.0326477,0.09731,3
0.0162838,0.0960565,3
0.0359633,0.0922918,3
0.0424636,0.0970522,3
0.0531338,0.0635785,3
0.0627997,0.0588573,3
0.0722373,0.0838257,3
0.0859165,0.0784665,3
0.0621089,0.0620995,3
0.117227,0.088389,3
0.0794052,0.05408,3
0.116629,0.0379213,3
0.119248,0.024728,3
0.14518,0.0417128,3
0.139961,0.0579486,3
0.124815,0.0285972,3
0.112096,0.0350922,3
0.122865,0.0181702,3
0.128363,0.0145422,3
0.109102,0.0371775,3
0.0863071,-0.0175739,3
0.0969088,-0.000547451,3
0.110811,0.00255161,3
0.0683672,-0.058231,3
0.0812987,-0.0481903,3
0.0253677,-0.077031,3
0.0257139,-0.0966919,3
0.0702527,-0.109457,3
0.037787,-0.108401,3
0.0745752,-0.107953,3
0.0262399,-0.0869911,3
0.0641053,-0.111041,3
0.0238351,-0.0866733,3
0.0393355,-0.102434,3
0.0275203,-0.0868611,3
0.00971068,-0.063676,3
0.031379,-0.0424156,3
0.0407005,-0.0564722,3
0.0367245,-0.0835638,3
0.0292627,-0.072706,3
-0.0164139,-0.048464,3
0.0175875,-0.0595424,3
-0.0292646,-0.0658753,3
-0.00125647,-0.063152,3
-0.0448116,-0.0318595,3
-0.0458164,-0.0440119,3
-0.0428031,-0.0353028,3
-0.0104432,-0.0583278,3
-0.0268334,-0.0376453,3
-0.0453755,-0.0379339,3
-0.0445175,-0.0584986,3
-0.0691089,-0.0504167,3
-0.0498124,-0.0582855,3
-0.0502777,-0.0373395,3
-0.0925535,-0.0653607,3
-0.0707415,-0.0302691,3
-0.105631,-0.0400517,3
-0.0785332,-0.0239728,3
-0.0939436,-0.0719294,3
-0.115037,-0.0566286,3
-0.0959832,-0.0350559,3
-0.0731722,-0.0530461,3
-0.0665014,-0.0188705,3
-0.10693,-0.000923658,3
-0.0953486,-0.0438686,3
-0.0800068,-0.044081,3
-0.095538,-0.0442767,3
-0.0744732,-0.036808,3
-0.10517,0.00161916,3
-0.117693,-0.0249484,3
-0.0911196,0.00175883,3
-0.1083,-0.00764379,3
-0.118259,-0.00531305,3
-0.0982263,0.0267686,3
-0.14268,0.0171925,3
-0.0906093,0.0187813,3
-0.0909986,0.0128219,3
-0.112695,0.055849,3
-0.0940915,0.0210228,3
-0.0946644,0.0500777,3
-0.123291,0.026156,3
-0.0988886,0.0498653,3
-0.121389,0.0570553,3
-0.114457,0.0543824,3
-0.119254,0.0997305,3
-0.1251,0.0578782,3
-0.113138,0.125697,3
-0.106735,0.101055,3
-0.104204,0.101431,3
-0.0576823,0.121669,3
-0.0680501,0.123217,3
-0.0741237,0.124679,3
-0.0869599,0.111738,3
-0.0724695,0.0869452,3
-0.0618578,0.0855462,3
-0.066052,0.0772757,3
-0.0710402,0.0728501,3
-0.0615109,0.0629085,3
-0.0705936,0.0300352,3
-0.0473104,0.0609054,3
-0.0440926,0.0253193,3
-0.0253349,0.0143373,3
-0.0349297,-0.00705646,3
-0.039673,0.0133203,3
-0.0258593,-0.0118938,3
-0.0273723,-0.0341241,3
-0.0405874,-0.0276249,3
-0.0320728,-0.00412325,3
0.00947439,-0.0388354,3
-0.0295158,-0.0303592,3
0.0272598,-0.0488875,3
0.0166518,-0.0104376,3
0.0264909,-0.026464,3
-0.00413649,-0.0205511,3
0.0238285,-0.0271002,3
0.0297556,-0.0445036,3
0.0183015,-0.0165829,3
0.0238259,-0.014724,3
0.0571191,-0.0231755,3
0.092722,-0.0190567,3
0.079173,-0.0234541,3
0.0958246,-0.0338855,3
0.129048,-0.0474401,3
0.101523,-0.0350201,3
0.128046,-0.0597674,3
0.0917085,-0.0674767,3
0.125935,-0.0604506,3
0.130091,-0.0680716,3
0.117601,-0.0450869,3
0.12677,-0.0433347,3
0.0957868,-0.0667242,3
0.120743,-0.0516817,3
0.132091,-0.0389399,3
0.120229,-0.0667215,3
0.0862999,-0.0718346,3
-0.357524,-0.0536553,4
-0.397829,-0.0369018,4
-0.364234,-0.0382092,4
-0.37239,-0.035365,4
-0.316622,-0.0432401,4
-0.268556,-0.0492314,4
-0.267561,-0.0855335,4
-0.227074,-0.0780021,4
-0.241692,-0.0986583,4
-0.221597,-0.0758003,4
-0.202842,-0.107285,4
-0.209163,-0.084827,4
-0.179215,-0.118725,4
-0.218286,-0.113487,4
-0.240374,-0.179385,4
-0.219616,-0.193192,4
-0.228729,-0.197451,4
