X,Y,C
0.000556884,0.375513,2
-0.00401378,0.344362,2
-1.19677e-6,0.35191,2
-0.0112573,0.362454,2
-0.0233274,0.35688,2
-0.0358447,0.304736,2
-0.0910588,0.279013,2
-0.0566479,0.279165,2
-0.0229866,0.244407,2
-0.0233722,0.245684,2
-0.114284,0.221187,2
-0.0949753,0.170518,2
-0.0666703,0.152628,2
-0.10391,0.139204,2
-0.0720477,0.108199,2
-0.0894886,0.0748633,2
-0.11163,0.075075,2
-0.162246,0.000257094,2
-0.124183,-0.0132763,2
-0.134077,-0.00224584,2
-0.163869,-0.0449426,2
-0.192297,-0.0796931,2
-0.119843,-0.0385889,2
-0.1837,-0.0549599,2
-0.120235,-0.161766,2
-0.177983,-0.12115,2
-0.204904,-0.137165,2
-0.146722,-0.144436,2
-0.217073,-0.200561,2
-0.16691,-0.233159,2
-0.182988,-0.219068,2
-0.204689,-0.2606,2
-0.14563,-0.265116,2
-0.190677,-0.190353,2
-0.184558,-0.305856,2
-0.185598,-0.311093,2
-0.223822,-0.280528,2
-0.181481,-0.272122,2
-0.185553,-0.327212,2
-0.253555,-0.356903,2
-0.19945,-0.318235,2
-0.213238,-0.362807,2
-0.200262,-0.362428,2
-0.23254,-0.329015,2
-0.2242,-0.2974,2
-0.154814,-0.293301,2
-0.252771,-0.228488,2
-0.192681,-0.153121,2
-0.165943,-0.152787,2
-0.128214,-0.0930931,2
-0.15992,-0.04478,2
-0.137269,-0.00300325,2
-0.130825,0.0270112,2
-0.112747,0.0762077,2
-0.09275,0.120828,2
-0.0661031,0.145597,2
-0.107902,0.178213,2
-0.111961,0.197439,2
-0.0938552,0.236061,2
-0.1039,0.234216,2
-0.0455784,0.235339,2
-0.0233899,0.239685,2
-0.0784054,0.298072,2
-0.040382,0.264512,2
-0.00182215,0.220027,2
-0.0436017,0.231748,2
-0.0531488,0.226599,2
-0.0843419,0.123555,2
-0.111397,0.0392618,2
-0.168355,-0.00256182,2
-0.126103,-0.0480898,2
-0.160088,-0.120824,2
-0.156459,-0.187842,2
-0.195883,-0.180327,2
-0.154693,-0.209606,2
-0.180465,-0.217787,2
-0.205525,-0.257975,2
-0.23173,-0.31182,2
-0.213545,-0.332782,2
-0.226162,-0.29038,2
-0.236524,-0.315168,2
-0.196917,-0.321185,2
-0.269471,-0.310134,2
-0.282926,-0.354235,2
-0.256779,-0.319377,2
-0.283174,-0.301703,2
-0.299193,-0.282247,2
-0.285452,-0.237823,2
-0.241636,-0.23673,2
-0.26449,-0.173893,2
-0.247962,-0.171897,2
-0.222331,-0.087974,2
-0.198978,-0.0866097,2
-0.221753,-0.0328673,2
-0.168147,0.0429985,2
-0.17416,0.0625435,2
-0.175349,0.0695226,2
-0.170998,0.0593803,2
-0.209172,0.106916,2
-0.182419,0.20935,2
-0.149834,0.232696,2
-0.135232,0.248183,2
-0.102652,0.354958,2
-0.0871435,0.302145,2
-0.143396,0.33041,2
-0.0771286,0.396694,2
-0.0611792,0.390376,2
-0.0780503,0.342291,2
-0.127993,0.332204,2
-0.104558,0.287003,2
-0.0742588,0.240971,2
-0.156916,0.183574,2
-0.154982,0.203993,2
-0.155651,0.149394,2
-0.184198,0.0850675,2
-0.172149,0.105018,2
-0.175891,0.0348931,2
-0.164511,-0.0351754,2
-0.207006,-0.076393,2
-0.205826,-0.0773276,2
-0.216998,-0.108685,2
-0.218698,-0.106228,2
-0.154193,-0.131159,2
-0.195799,-0.139226,2
-0.206543,-0.0462732,2
-0.185316,-0.0159397,2
-0.195983,0.0915568,2
-0.170175,0.124991,2
-0.182374,0.146319,2
-0.163968,0.141907,2
-0.119103,0.140225,2
-0.229952,0.0356074,2
-0.220034,0.0270395,2
-0.23185,-2.90744e-5,2
-0.190792,-0.0825325,2
