X,Y,C
-0.390507,0.435083,1
-0.384248,0.416846,1
-0.390035,0.421173,1
-0.392356,0.401453,1
-0.391694,0.399924,1
-0.378136,0.408597,1
-0.402371,0.391681,1
-0.3951,0.369753,1
-0.377755,0.351927,1
-0.391777,0.350822,1
-0.372735,0.321337,1
-0.386219,0.314735,1
-0.378912,0.322304,1
-0.364744,0.312968,1
-0.379276,0.328798,1
-0.358555,0.326575,1
-0.366242,0.304401,1
-0.345937,0.306317,1
-0.360628,0.289456,1
-0.336976,0.297308,1
-0.360351,0.297934,1
-0.339059,0.279126,1
-0.317145,0.276558,1
-0.328802,0.331059,1
-0.32028,0.274308,1
-0.323273,0.318602,1
-0.32276,0.299661,1
-0.30592,0.261059,1
-0.343312,0.270694,1
-0.345146,0.26997,1
-0.344906,0.281536,1
-0.351126,0.326663,1
-0.371096,0.338237,1
-0.372745,0.356613,1
-0.359904,0.3872,1
-0.377401,0.368019,1
-0.364257,0.387394,1
-0.362161,0.391733,1
-0.378714,0.376632,1
-0.369009,0.35363,1
-0.349886,0.343844,1
-0.361158,0.348222,1
-0.342167,0.317688,1
-0.340493,0.296155,1
-0.348158,0.288687,1
-0.350832,0.278041,1
-0.360044,0.270993,1
-0.337419,0.284614,1
-0.351847,0.256085,1
-0.358006,0.253061,1
-0.337146,0.259114,1
-0.355558,0.260226,1
-0.351861,0.257954,1
-0.32265,0.114445,1
-0.332109,0.238839,1
-0.330897,0.226014,1
-0.330999,0.19669,1
-0.334351,0.216843,1
-0.316615,0.107685,1
-0.339649,0.207894,1
-0.314713,0.215319,1
-0.320588,0.19889,1
-0.295677,0.221344,1
-0.338498,0.210534,1
-0.308519,0.223967,1
-0.307466,0.241648,1
-0.327942,0.225056,1
-0.313454,0.215387,1
-0.339016,0.200468,1
-0.290947,0.24934,1
-0.330469,0.227588,1
-0.343833,0.266106,1
-0.343237,0.254913,1
-0.330751,0.228193,1
-0.302301,0.205419,1
-0.282344,0.237223,1
-0.270161,0.176166,1
-0.305273,0.176864,1
-0.268105,0.147892,1
-0.258247,0.140461,1
-0.232359,0.129749,1
-0.257232,0.176807,1
-0.25407,0.147654,1
-0.227979,0.116399,1
-0.240691,0.131252,1
-0.261028,0.111038,1
-0.274442,0.18876,1
-0.281464,0.178406,1
-0.3062,0.198596,1
-0.310126,0.211889,1
-0.320886,0.188766,1
-0.289406,0.190516,1
-0.325105,0.217661,1
-0.329889,0.211117,1
-0.341339,0.17293,1
-0.292806,0.195407,1
-0.287591,0.179571,1
-0.277279,0.169457,1
-0.276536,0.11753,1
-0.279944,0.130986,1
-0.265077,0.0979235,1
-0.244707,0.0759848,1
-0.219047,0.0667467,1
-0.220367,0.0790491,1
-0.23131,0.0982781,1
-0.216762,0.0644506,1
-0.270989,0.0777364,1
-0.256488,0.124372,1
-0.29192,0.0782319,1
-0.24739,0.132289,1
-0.286563,0.16303,1
-0.326058,0.159846,1
-0.281979,0.14395,1
-0.320604,0.173097,1
-0.289279,0.172058,1
-0.342667,0.155234,1
-0.334357,0.153308,1
-0.29397,0.144245,1
-0.332426,0.0906257,1
-0.29751,0.122718,1
-0.287874,0.0644638,1
-0.306131,0.0807346,1
