X,Y,C
-0.355244,0.492422,2
0.119051,-0.140502,5
0.0422628,0.316457,1
-0.28256,-0.245947,3
-0.105957,-0.170437,3
-0.150888,-0.385838,4
-0.406015,-0.0101144,3
-0.393313,-0.49012,4
-0.461477,-0.012211,3
0.135828,-0.209607,5
-0.232997,0.159426,3
0.301175,0.343575,1
0.196651,-0.30222,5
0.445332,0.277642,1
-0.212109,-0.356311,4
0.119181,-0.22961,5
0.303584,0.500337,1
-0.396055,0.38797,2
0.0129769,0.314951,2
-0.110947,-0.382959,4
-0.440771,-0.170519,3
0.341661,0.217427,1
0.278473,0.376698,1
0.30615,0.218402,1
-0.402385,0.0704147,3
0.238381,0.473522,1
-0.154923,-0.335261,4
0.315861,-0.215359,5
0.166677,0.280734,1
0.346436,-0.190185,5
0.0482899,0.310185,1
-0.283744,-0.506585,4
0.145033,0.268538,1
0.288788,-0.362103,5
0.151121,0.183906,1
-0.193412,0.288501,2
-0.239331,-0.365707,4
-0.218353,-0.287071,4
-0.258456,0.527759,2
-0.327038,0.485443,2
-0.329293,-0.51313,4
0.346013,0.192001,1
0.00880462,-0.217064,5
-0.0796054,0.299854,2
-0.0152097,0.534806,1
-0.403125,-0.186097,3
-0.175812,0.501822,2
0.270706,-0.490037,5
0.3528,0.281943,1
-0.184161,0.306876,2
-0.331345,-0.0287101,3
-0.121074,-0.171489,3
0.334742,0.253362,1
-0.225358,0.490715,2
0.309296,0.136279,1
0.0735789,0.216798,1
-0.0320198,0.00958372,3
0.116939,0.158384,1
0.312878,0.169368,1
0.0396554,0.346425,1
0.131102,-0.16661,5
0.107379,0.278867,1
-0.259825,0.0614431,3
-0.071466,0.0598093,3
-0.297844,-0.413707,4
0.111459,-0.167264,5
0.248614,-0.162006,5
0.0165735,0.303817,1
-0.118562,-0.175343,3
-0.113529,0.157528,3
-0.182286,-0.369674,4
0.1273,0.358988,1
-0.144241,0.327142,2
-0.291303,0.295754,2
0.435717,0.0827499,1
0.0369577,0.363835,2
0.145,-0.252347,5
0.252779,0.201875,1
0.281617,0.188187,1
-0.235684,-0.0210057,3
0.0531772,0.456436,1
0.256142,0.188278,1
0.479505,0.493041,1
-0.412393,-0.0640296,3
-0.154969,-0.316743,4
0.235589,-0.199742,5
-0.231973,-0.309131,4
0.149896,-0.22512,5
0.226135,0.204076,1
-0.406624,-0.152114,3
-0.116782,-0.0925185,3
0.318797,0.468768,1
0.111927,-0.321788,5
-0.249657,0.32958,2
-0.0533038,0.430471,2
-0.23348,-0.114598,3
0.338758,0.190025,1
0.168784,-0.281435,5
-0.250249,0.398969,2
0.262225,-0.0325151,1
0.245771,-0.422102,5
-0.338687,-0.365458,4
-0.261617,0.0196235,3
0.0609336,0.293563,1
0.0672219,0.356455,1
-0.333749,-0.185334,3
-0.306222,-0.0824132,3
-0.243117,0.323085,2
-0.259807,-0.345759,4
0.198767,0.314612,1
-0.0747583,-0.0127893,3
-0.0470987,-0.151423,3
0.239837,0.279415,1
-0.335806,-0.0305571,3
