X,Y,C
-0.00349719,-0.0668687,3
-0.382238,-0.230308,2
-0.116689,-0.153325,2
-0.358915,0.108039,1
0.0131031,0.202136,3
-0.172005,0.206415,1
-0.264477,0.137267,1
-0.372812,-0.242021,2
-0.233574,-0.143781,2
-0.277068,-0.154272,2
-0.278992,-0.22037,2
-0.0469436,0.163937,3
0.0253909,0.169347,3
-0.178819,0.0751158,1
-0.195913,-0.250058,2
-0.400523,-0.040893,2
-0.285512,0.171375,1
-0.290547,-0.235252,2
-0.337691,-0.172381,2
0.0399514,-0.110746,3
-0.285169,0.170867,1
0.00330287,0.0936072,3
-0.309594,-0.0676423,2
-0.183896,-0.183583,2
-0.313877,-0.163174,2
-0.0941171,-0.0247198,3
-0.0389245,0.198236,3
-0.203103,-0.222637,2
-0.306389,-0.213536,2
-0.421574,-0.0834877,2
-0.104725,0.0338413,3
-0.289765,0.159853,1
-0.205959,0.168511,1
-0.26879,-0.224434,2
-0.354473,0.0322693,1
-0.322564,-0.196746,2
-0.143643,-0.0109884,3
-0.391035,0.258574,1
-0.364072,-0.233322,2
-0.268367,0.215829,1
-0.298419,-0.150274,2
-0.225467,-0.231154,2
-0.245283,0.306186,1
-0.310894,0.100835,1
-0.301001,0.256826,1
-0.302566,-0.23566,2
0.0111426,-0.117965,3
-0.345652,-0.0600752,2
0.0461883,0.0530092,3
-0.00322043,0.158696,3
-0.284077,0.212419,1
-0.265896,-0.184676,2
0.102758,0.0487634,3
0.00883165,-0.0158774,3
-0.0945445,-0.0130007,3
-0.0904247,0.0523206,3
0.0391188,0.163388,3
-0.114589,0.0652302,3
-0.0991181,0.0378078,3
-0.12261,0.186307,1
-0.39882,-0.10271,2
-0.354454,-0.290456,2
-0.405616,-0.24179,2
-0.0601307,0.022985,3
0.011205,-0.0280712,3
-0.185551,0.208119,1
-0.0108257,-0.117184,3
0.0145485,-0.0615967,3
0.103852,-0.0510732,3
-0.258011,0.155395,1
0.0054686,0.080735,3
-0.206195,0.135072,1
-0.320064,-0.149773,2
-0.0734446,0.0453029,3
0.168944,0.0388473,3
-0.0902568,-0.0843066,3
-0.00733555,0.136228,3
0.117869,0.0369437,3
-0.0536335,0.162977,3
0.144865,0.0204506,3
-0.249063,0.189843,1
-0.25893,0.0560379,1
-0.303059,0.244419,1
0.101595,-0.0390274,3
0.0519706,-0.00911343,3
-0.346669,0.0882111,1
-0.160524,-0.168497,2
0.114554,0.0561256,3
-0.0581143,0.126319,3
-0.263228,-0.137534,2
-0.405294,-0.249345,2
0.00193649,-0.11745,3
-0.309434,0.122265,1
-0.373777,-0.193057,2
-0.00525029,-0.0776518,3
0.0272598,-0.0488875,3
